Gene	p (Corr)  [UC]vs [Not IBD]	FC ([UC] vs [Not IBD]) 	[UC] vs [Not IBD] 
L3HYPDH	8.93E-21	2.6603365	up
DYRK3	5.80E-18	2.6626167	up
TSPYL2	3.79E-23	2.6636047	up
DTX1	6.80E-09	2.6638992	up
STK36	5.68E-30	2.6643553	up
SUSD3	7.97E-17	2.6665113	up
RASSF4	4.15E-26	2.6683023	up
LOXL1	8.10E-20	2.669166	up
FLT4	4.33E-14	2.669251	up
PHC1	1.91E-23	2.6721065	up
CXCR6	1.73E-19	2.672924	up
IL10	8.07E-13	2.673029	up
CEP19	1.81E-23	2.678291	up
UBA7	7.05E-27	2.6785653	up
DNHD1	4.70E-23	2.679433	up
FSD1	4.15E-18	2.6826289	up
COL4A5	7.20E-13	2.6827967	up
CCDC154	1.73E-14	2.6841831	up
SLC35G2	2.27E-18	2.6857376	up
FAM159A	3.39E-12	2.687455	up
EOMES	8.87E-09	2.687813	up
CFAP54	1.50E-22	2.6911156	up
CTD-2192J16.22	1.40E-04	2.6951969	up
SH2D2A	3.63E-24	2.6968422	up
KIAA0895L	9.81E-29	2.7002938	up
KCND1	2.77E-21	2.701984	up
KIAA1614	2.26E-17	2.7055218	up
SLC2A6	2.82E-18	2.7058353	up
CCDC129	1.50E-06	2.7062547	up
HES4	2.78E-23	2.7066019	up
C16orf74	3.53E-22	2.7110138	up
BMP6	1.92E-17	2.7153218	up
THSD1	6.59E-23	2.7169156	up
CBR3	6.70E-15	2.719949	up
RASA4B	1.47E-15	2.7206702	up
COL16A1	2.09E-26	2.7240188	up
GTSF1	3.89E-12	2.729977	up
SLC26A11	1.17E-25	2.7311168	up
C1QTNF5	4.73E-30	2.7318711	up
WDR90	4.92E-23	2.7336707	up
SHH	8.14E-11	2.7337947	up
DFNB59	7.26E-21	2.7340295	up
KSR1	1.76E-14	2.7341144	up
FHL3	5.83E-25	2.7341821	up
FLT3LG	7.54E-30	2.7349858	up
A4GALT	7.03E-21	2.7363687	up
RGS19	1.02E-23	2.7383404	up
EME2	1.99E-25	2.7389283	up
GZMH	1.18E-06	2.7390842	up
TTC21A	1.85E-24	2.7397234	up
GAS1	1.38E-06	2.7397668	up
CD6	2.84E-17	2.7420962	up
CHKB	1.38E-42	2.7433124	up
TBKBP1	2.32E-23	2.7473078	up
DLG4	1.45E-25	2.7489011	up
STARD8	2.77E-21	2.7544396	up
SCGB3A2	1.60E-10	2.7573116	up
TNXB	3.95E-16	2.7577312	up
FBXO2	2.38E-14	2.7616239	up
WDR27	9.51E-19	2.7645295	up
ITPRIPL1	2.17E-21	2.7647693	up
FBXO44	5.63E-30	2.766866	up
TYK2	1.78E-38	2.7669654	up
NLRP1	6.12E-27	2.767326	up
SEPT1	2.74E-18	2.7682533	up
NAB2	1.99E-25	2.768964	up
SERPINF2	1.67E-19	2.771076	up
EID3	5.98E-23	2.7717464	up
SH2D1B	8.08E-13	2.7721567	up
FCHSD1	4.66E-26	2.7739353	up
WNT10A	5.73E-24	2.7763784	up
HDAC7	1.48E-29	2.7764256	up
UBAP1L	2.15E-24	2.7773845	up
KANK3	1.58E-25	2.7799337	up
TVP23A	1.51E-18	2.7811046	up
EP400NL	1.17E-30	2.786039	up
PRDM15	6.60E-25	2.7862995	up
DOK2	2.86E-29	2.7882586	up
LRRC69	6.40E-15	2.7884836	up
EGFLAM	4.36E-16	2.7915761	up
MSS51	3.19E-32	2.7936502	up
EXOC3L2	2.76E-18	2.797146	up
WDR66	1.57E-24	2.7975738	up
PIK3R6	1.88E-27	2.7978418	up
STAB1	7.80E-24	2.8017414	up
RNF207	2.04E-16	2.8072724	up
TXK	5.97E-15	2.8090813	up
GPSM1	1.74E-25	2.8105044	up
VASH1	1.20E-21	2.815308	up
CCNL2	1.38E-34	2.8181725	up
ACAP3	9.00E-26	2.8185534	up
LAT	2.21E-18	2.8197215	up
VEGFC	9.91E-22	2.8204205	up
CLEC17A	1.90E-05	2.8213089	up
SCARF2	4.09E-26	2.8217237	up
KLF2	5.19E-17	2.8256352	up
EXOC3L4	1.73E-28	2.8274486	up
ZNF692	1.71E-36	2.8289287	up
TAS1R3	3.45E-16	2.8324	up
C19orf66	<5.34E-43	2.835441	up
S1PR3	5.71E-12	2.8358128	up
TUBGCP6	3.21E-30	2.8376052	up
CBX2	1.49E-22	2.8379526	up
GSTT2B	1.74E-09	2.8428464	up
GPR171	5.01E-12	2.8470125	up
ESR2	1.40E-16	2.848036	up
MAGED4B	3.00E-24	2.8542497	up
CD79B	1.23E-07	2.8545866	up
EFHC1	1.18E-41	2.8554518	up
RBP5	1.14E-22	2.8564994	up
NKTR	1.11E-20	2.8583817	up
KRBA1	1.05E-25	2.8593726	up
ZFC3H1	3.60E-34	2.8608758	up
SEMA6B	2.51E-18	2.8611667	up
ACRC	3.07E-30	2.8615816	up
LRRC25	3.11E-24	2.8616197	up
HSPA12B	8.47E-24	2.863597	up
CHST1	3.45E-24	2.865092	up
SPAG8	3.97E-21	2.8651643	up
EMILIN1	1.56E-24	2.865501	up
SH2D3C	2.38E-22	2.8716173	up
FSTL3	1.57E-24	2.8721693	up
TNS2	8.64E-29	2.874954	up
ALPK3	8.38E-12	2.875202	up
CEP112	6.77E-18	2.8759148	up
SOX17	3.92E-16	2.8777685	up
RYR3	1.05E-17	2.8787973	up
COL9A3	1.13E-19	2.8823833	up
AGAP6	7.14E-36	2.882723	up
IL17B	4.08E-11	2.888191	up
KLK12	1.96E-06	2.8882604	up
IRF7	2.26E-41	2.8888907	up
ACCS	4.61E-16	2.889085	up
RP11-793H13.10	3.57E-26	2.8921218	up
MAPK8IP3	3.83E-23	2.892522	up
PCED1B	5.69E-19	2.8926103	up
TUBG2	6.64E-38	2.892668	up
AASS	2.38E-20	2.8940027	up
ZNF467	6.72E-28	2.8961372	up
ATAD3C	3.96E-23	2.8973048	up
MAMDC4	6.62E-19	2.899033	up
ADGRL4	2.72E-21	2.9008403	up
MMP17	2.13E-16	2.9025023	up
RASIP1	2.05E-22	2.9043243	up
PDE1B	1.43E-21	2.9065568	up
MXRA8	2.45E-32	2.9099104	up
GSTM2	3.27E-29	2.9126003	up
RP11-411B6.6	1.97E-06	2.9131646	up
ARHGAP23	2.65E-17	2.9147446	up
CEACAM21	9.57E-21	2.917951	up
KIFC2	3.98E-24	2.9194574	up
CARD9	4.78E-31	2.9221919	up
ECSCR	4.15E-24	2.9280179	up
GPR85	2.89E-22	2.9290428	up
PLA2G2D	3.48E-07	2.9376934	up
ERO1A	1.01E-11	2.93857	up
NR2F1	1.56E-21	2.9433537	up
RNF166	3.57E-29	2.9434016	up
ENO3	8.51E-37	2.9569104	up
TCTEX1D1	6.89E-12	2.9654446	up
CCDC136	2.74E-16	2.9662747	up
CCDC189	2.43E-38	2.976455	up
ANKRD23	3.32E-24	2.978562	up
C16orf86	9.44E-30	2.983121	up
YJEFN3	1.16E-14	2.9844384	up
ANK1	9.11E-15	2.986512	up
SH3RF3	5.08E-26	2.9905052	up
CA9	1.16E-06	2.9922364	up
SH2B2	1.35E-26	2.9930675	up
CD300C	4.11E-23	2.9982047	up
GRASP	5.73E-27	2.9998667	up
BOC	2.34E-20	3.0007894	up
CTC-435M10.3	1.03E-06	3.0045533	up
DFNB31	3.85E-27	3.010475	up
FXYD2	6.85E-10	3.0212328	up
CASS4	1.57E-19	3.022939	up
TSSK3	4.68E-12	3.0361466	up
GHRL	3.37E-16	3.0379612	up
FNDC1	3.34E-08	3.04356	up
CCDC39	1.03E-19	3.0457242	up
FGD3	7.77E-22	3.0476024	up
CAPN8	7.34E-17	3.0478525	up
APOC2	1.18E-08	3.0488698	up
ADORA2A	4.24E-17	3.0489855	up
SIGLEC7	2.33E-28	3.053675	up
EBF4	3.83E-31	3.0554204	up
NTF3	7.39E-19	3.0600433	up
IL22RA2	1.23E-05	3.063029	up
CYP27B1	1.74E-18	3.063892	up
SEC14L2	2.06E-18	3.0653796	up
GRIN3A	1.01E-10	3.0674152	up
HIGD1B	3.18E-11	3.0688288	up
HS3ST3A1	3.29E-15	3.0702324	up
CCL3L3	7.65E-04	3.0716085	up
DCHS1	2.62E-17	3.0761523	up
ARHGEF15	4.03E-20	3.0817509	up
ZCCHC18	2.00E-13	3.092035	up
KCNC3	2.01E-17	3.097241	up
CD300LF	5.73E-27	3.0982044	up
ICAM4	6.44E-19	3.1006126	up
CRYGS	5.34E-35	3.1028576	up
MADCAM1	4.39E-13	3.1045833	up
NFAM1	3.08E-24	3.1056697	up
RIC3	2.84E-13	3.1082385	up
TNFRSF13C	1.86E-07	3.1134677	up
LTB4R2	6.15E-21	3.1151512	up
CCL7	2.20E-10	3.117712	up
SRRM2	1.31E-33	3.1201832	up
GALNT14	3.85E-11	3.1212406	up
P2RY6	6.06E-24	3.123202	up
ARHGEF17	2.12E-24	3.1234787	up
OGT	1.85E-28	3.12594	up
PF4	7.11E-17	3.1266022	up
KCNIP2	3.75E-19	3.1270876	up
SORCS2	2.01E-13	3.134967	up
LSMEM1	9.93E-22	3.138464	up
CH507-42P11.8	2.05E-06	3.140228	up
RP11-330H6.5	3.52E-09	3.1443102	up
ADGRG6	8.32E-14	3.146645	up
ROBO4	8.21E-20	3.1478672	up
BTN2A2	8.25E-28	3.1487625	up
PTPRS	3.57E-26	3.1503565	up
PLXNA3	9.34E-20	3.1533272	up
HOXB2	2.96E-30	3.1552324	up
C6orf201	9.72E-07	3.1553066	up
LAMA2	2.01E-19	3.155788	up
PAN2	4.28E-34	3.1635234	up
RP11-434D12.1	1.25E-15	3.1650972	up
ASIC3	1.04E-20	3.1654418	up
PILRA	3.26E-26	3.1770663	up
DUSP5	1.30E-16	3.1781452	up
CSTA	6.51E-16	3.1807678	up
HTRA4	5.96E-17	3.1846693	up
KNTC1	3.24E-39	3.1864963	up
HTR3A	9.70E-05	3.1899757	up
TMEM108	1.05E-15	3.1941156	up
TG	2.15E-15	3.1948597	up
ENAM	8.34E-22	3.2033274	up
SNX22	7.30E-12	3.2051158	up
LENG8	5.35E-34	3.2082298	up
RGL4	3.83E-22	3.211679	up
CPT1B	1.29E-24	3.2131543	up
DLC1	6.34E-17	3.2252703	up
MPP3	1.73E-24	3.226564	up
MRAS	9.16E-26	3.2413905	up
COLQ	2.01E-23	3.24952	up
MEOX1	3.46E-21	3.254626	up
IL5RA	4.22E-11	3.2546663	up
FAM129C	5.14E-06	3.2550185	up
FSCN1	9.89E-25	3.255692	up
NKD2	2.86E-18	3.2574096	up
REM1	5.35E-22	3.2580576	up
PCED1A	1.08E-39	3.259518	up
GAB3	8.50E-38	3.260072	up
SEPT4	5.55E-34	3.2605653	up
LST1	5.59E-33	3.2817507	up
TMEM110-MUSTN1	1.74E-15	3.2823482	up
LIMD2	2.30E-18	3.2831855	up
EVL	1.26E-24	3.286829	up
ECM1	1.30E-25	3.2910795	up
P3H1	1.78E-41	3.2913551	up
DTX3	1.29E-40	3.29338	up
KLHL29	1.67E-23	3.2975655	up
TTC9	1.65E-16	3.2996836	up
SIGLEC10	2.76E-26	3.3112576	up
FNDC4	3.82E-23	3.334098	up
PTGER1	2.07E-18	3.3536522	up
CPT1C	8.98E-25	3.3547332	up
BRSK1	8.54E-33	3.3556612	up
CDRT4	5.43E-15	3.3580477	up
RASGRP4	4.14E-24	3.3582358	up
VMO1	4.53E-16	3.3594987	up
PRDM8	2.42E-22	3.3633473	up
ZNF154	1.02E-19	3.3663092	up
CARD14	1.69E-18	3.3691907	up
LY6G5B	1.62E-26	3.3803854	up
NFATC4	3.33E-33	3.3860757	up
PRR33	1.35E-20	3.3901002	up
TAC3	5.80E-15	3.3916616	up
NRROS	4.47E-32	3.3937192	up
EBI3	2.89E-23	3.3955953	up
SIGLEC9	1.73E-21	3.3971732	up
ANKRD13D	<5.34E-43	3.402669	up
ERICH6B	4.82E-17	3.412117	up
CCL4L2	2.03E-04	3.413866	up
CSAD	1.08E-26	3.4160185	up
PLIN5	3.75E-19	3.4265826	up
RELL2	5.24E-33	3.4270587	up
AGER	1.85E-32	3.431037	up
C3orf36	1.26E-14	3.440145	up
SLC25A27	1.12E-23	3.4415698	up
CD300LB	3.79E-22	3.4439702	up
VAMP1	9.49E-34	3.4446938	up
TTLL3	1.28E-30	3.4515305	up
TBC1D10C	4.27E-21	3.468858	up
MMP23B	7.20E-29	3.4794772	up
CSPG4	1.82E-16	3.4832804	up
PILRB	3.46E-29	3.483795	up
SYTL1	2.14E-33	3.4871457	up
ADGRG5	2.74E-26	3.4883182	up
POLN	1.83E-28	3.4903407	up
OVOS2	3.58E-15	3.4963186	up
LPAR3	2.07E-17	3.5023818	up
P2RX1	1.16E-33	3.5122418	up
S1PR4	1.35E-20	3.521352	up
MLLT11	2.49E-27	3.5267828	up
ADORA1	1.13E-24	3.5278077	up
SNX20	1.13E-26	3.535112	up
POU2F2	8.11E-15	3.539054	up
GOLGA6L4	3.05E-19	3.5415761	up
SNED1	1.30E-22	3.5556262	up
TNFSF9	3.55E-11	3.5569196	up
ACAD11	<5.34E-43	3.5571692	up
ADAMTSL4	6.42E-34	3.5591311	up
PLCB2	2.31E-33	3.5593855	up
RP11-812E19.9	8.44E-08	3.5631242	up
MYO7A	8.28E-34	3.5638857	up
TMC8	1.11E-17	3.5694408	up
COL4A4	9.20E-21	3.5804706	up
CCDC88B	4.57E-35	3.584415	up
HAGHL	5.88E-34	3.5904098	up
IZUMO4	2.30E-32	3.5938206	up
ANKDD1A	4.13E-28	3.6045291	up
PBX4	5.46E-30	3.6370926	up
SAMD11	2.20E-40	3.6371658	up
GNLY	1.97E-14	3.6474638	up
SAMD14	3.49E-25	3.6529846	up
ADGRF5	2.35E-18	3.6574743	up
ARHGAP33	8.76E-21	3.658188	up
NOTCH4	9.63E-37	3.6659157	up
RHEBL1	3.09E-28	3.6750238	up
SUCNR1	1.48E-14	3.6766896	up
ZMYND15	3.19E-33	3.6817894	up
PLEKHH2	2.18E-23	3.6915777	up
AGAP9	1.07E-17	3.692272	up
WDR86	7.53E-27	3.7076519	up
TBX2	2.53E-32	3.70869	up
TBX21	2.36E-22	3.7088456	up
GABBR1	5.15E-27	3.7133806	up
GIPR	2.54E-27	3.714762	up
LYG1	2.91E-27	3.7179213	up
TBC1D3L	8.37E-05	3.7197392	up
HCG27	1.57E-25	3.7270184	up
TDRD10	2.36E-30	3.7275567	up
SMIM5	3.30E-21	3.7282493	up
ALOX15	4.53E-09	3.730739	up
CHST3	3.00E-22	3.7316487	up
HP	2.02E-07	3.7344801	up
AF011889.5	3.57E-18	3.7419214	up
BFSP2	5.00E-10	3.7427478	up
AF111168.2	4.27E-11	3.7518547	up
CRABP2	8.69E-14	3.7527018	up
MAPK12	1.59E-34	3.7553005	up
DNAJC5B	3.74E-17	3.7581823	up
PEAR1	3.30E-31	3.7588472	up
AHSA2	9.60E-36	3.7645266	up
RAPGEF3	9.87E-34	3.7687643	up
GREM1	9.61E-09	3.780911	up
TWIST1	1.78E-15	3.7812033	up
PLGLB2	7.80E-05	3.7845685	up
KCNJ8	7.62E-22	3.7881837	up
LCN10	8.91E-12	3.7891867	up
TNFSF14	2.13E-21	3.802286	up
ITGA11	3.38E-16	3.8028743	up
AL645728.1	1.10E-04	3.8088813	up
TUBB3	7.48E-19	3.811132	up
C1orf228	4.85E-14	3.8157105	up
OSCAR	2.92E-22	3.817721	up
DNAH17	2.49E-20	3.8314266	up
SIRPB2	1.28E-22	3.8364713	up
GJA4	8.59E-22	3.8391707	up
PHOSPHO1	5.24E-25	3.8444507	up
EMID1	1.00E-33	3.8463063	up
BRICD5	8.21E-32	3.85142	up
TREML1	5.42E-10	3.8541427	up
MS4A14	3.40E-22	3.8603506	up
SHISA2	1.23E-10	3.879395	up
KLRC4	1.07E-07	3.8902204	up
FHL5	4.29E-17	3.8947406	up
FCRL4	9.41E-09	3.9005895	up
IL12RB1	1.14E-33	3.9060135	up
CTD-2370N5.3	2.68E-04	3.9078372	up
APOBEC1	7.59E-13	3.917552	up
AC009950.1	4.78E-05	3.92224	up
RGPD1	1.14E-09	3.9324439	up
TENM4	2.42E-11	3.9417305	up
SCNN1D	5.91E-23	3.9451141	up
SAPCD1	1.38E-24	3.9500134	up
GPR162	<5.34E-43	3.9627008	up
PKHD1L1	1.24E-24	3.9675522	up
DNM1	1.03E-24	3.9704952	up
EGFL7	9.57E-39	3.973628	up
SRPK3	3.88E-22	3.9776516	up
TBC1D3B	3.93E-25	3.9779184	up
LTB4R	<5.34E-43	3.9832408	up
ADGRE1	6.62E-24	4.0062413	up
COL27A1	2.03E-26	4.01058	up
RASGRP2	1.16E-15	4.0265856	up
NOS3	2.40E-23	4.0335746	up
CBLN3	3.99E-24	4.038286	up
MAP3K12	1.61E-38	4.039951	up
SNPH	1.50E-16	4.042275	up
FAM167B	7.10E-38	4.0454607	up
PRAM1	9.59E-29	4.0577083	up
SHANK3	6.92E-26	4.0778403	up
CRIP3	8.43E-10	4.078137	up
PGF	3.89E-29	4.0784307	up
HSF4	3.21E-30	4.0835686	up
TDRD6	1.78E-21	4.0943904	up
PRSS27	2.10E-22	4.1219335	up
PRRT2	7.85E-15	4.1324534	up
TMEM74B	2.26E-29	4.1386137	up
FAM26F	5.35E-22	4.143548	up
CNTNAP1	1.56E-29	4.1468773	up
INHBB	1.07E-16	4.1552863	up
LTA	5.02E-14	4.163033	up
PDCD1	1.26E-16	4.180125	up
SHC2	2.06E-33	4.1829176	up
KIFC3	6.22E-30	4.2187862	up
KCNAB3	6.22E-31	4.224742	up
ERMN	4.08E-24	4.232951	up
PATL2	1.86E-30	4.2351866	up
NLGN2	1.35E-34	4.237766	up
C11orf96	8.74E-15	4.237972	up
TAC4	7.71E-08	4.243538	up
CTD-3088G3.8	1.34E-22	4.246401	up
COL8A1	2.03E-14	4.2469144	up
RP4-583P15.14	2.92E-15	4.2574124	up
RELT	1.19E-34	4.262493	up
ZAP70	3.81E-26	4.3105474	up
TTC24	4.38E-11	4.3105774	up
MFAP2	1.29E-30	4.316725	up
EVA1A	3.45E-30	4.3300285	up
LDLRAD2	1.66E-30	4.3498783	up
ARHGAP4	1.39E-36	4.355038	up
CCR10	2.05E-27	4.35999	up
C19orf38	2.60E-38	4.369538	up
ATG16L2	2.40E-41	4.3708706	up
PCBP3	3.32E-29	4.381496	up
CHRD	1.78E-38	4.439469	up
TSPAN32	1.29E-20	4.446299	up
CFP	6.86E-30	4.4524493	up
DOK3	9.99E-32	4.4627986	up
CPNE7	4.09E-23	4.5066624	up
LIN7A	1.79E-21	4.518448	up
TNNT3	4.03E-09	4.5254135	up
NPIPB15	3.43E-05	4.5306606	up
KCP	9.89E-32	4.5316486	up
C11orf21	1.35E-20	4.534411	up
CYSLTR2	1.51E-30	4.536457	up
RP11-159D12.5	5.44E-20	4.5828476	up
GNB3	3.03E-39	4.6211677	up
BHLHE22	9.75E-22	4.6275535	up
IGDCC4	1.92E-36	4.6317835	up
LAMC3	6.66E-20	4.6380644	up
FAM216B	5.77E-13	4.65295	up
RHPN1	<5.34E-43	4.6570163	up
CIITA	1.27E-27	4.6652946	up
SOX18	1.02E-27	4.693657	up
LAG3	3.97E-27	4.695875	up
MIXL1	2.49E-30	4.698947	up
MAPK11	5.35E-42	4.7002983	up
IFITM2	1.18E-29	4.705394	up
ADCY4	2.23E-41	4.718333	up
RLTPR	2.07E-24	4.7279506	up
GAL	2.69E-11	4.7329392	up
SHISA8	1.10E-09	4.732986	up
CETP	3.78E-14	4.735427	up
STRA6	1.45E-12	4.7434096	up
SLC22A31	3.48E-13	4.743427	up
C17orf96	8.80E-29	4.74376	up
C2CD4B	7.17E-23	4.754085	up
CXorf65	2.23E-21	4.759297	up
IL4I1	1.23E-25	4.775289	up
CLEC12A	3.21E-23	4.7898626	up
IGLL5	9.90E-27	4.794193	up
TMEM158	3.23E-28	4.794981	up
AL365273.1	1.23E-05	4.79683	up
SIGLEC12	3.29E-11	4.799753	up
RP4-539M6.19	1.91E-06	4.803626	up
LCAT	<5.34E-43	4.8131514	up
SEC31B	8.54E-33	4.820424	up
LCN6	1.70E-14	4.825548	up
IFFO1	<5.34E-43	4.835274	up
FCRL1	3.51E-09	4.848065	up
TRO	<5.34E-43	4.855666	up
PSG11	8.16E-14	4.867381	up
ADGRF1	5.40E-14	4.869723	up
GNG8	5.94E-07	4.8874626	up
CCL13	1.82E-17	4.898044	up
KEL	1.87E-11	4.9104776	up
ADAMTS7	5.50E-28	4.917108	up
NDUFA4L2	2.52E-37	4.9238353	up
PRRX2	5.06E-37	4.9420724	up
PNOC	5.77E-31	4.9540963	up
CLC	3.56E-13	4.9963994	up
RTEL1	6.36E-41	5.0142555	up
LAMP5	1.25E-24	5.019583	up
CHKB-CPT1B	6.22E-31	5.0316143	up
HTRA3	4.13E-27	5.045979	up
PCSK9	1.14E-17	5.048555	up
CHST2	5.55E-32	5.07043	up
AC007326.1	4.25E-11	5.072618	up
GPR25	1.62E-24	5.0881133	up
MDGA1	2.73E-15	5.131671	up
GLYATL1	2.71E-18	5.1647143	up
LAIR2	4.43E-15	5.2143097	up
AC011513.3	1.26E-05	5.2216034	up
REC8	<5.34E-43	5.232266	up
SHBG	2.94E-08	5.2404637	up
VASN	8.62E-33	5.250416	up
KIAA1755	2.36E-28	5.2588887	up
MEF2B	4.40E-20	5.2614	up
CD70	1.03E-19	5.2987466	up
ITIH4	3.02E-38	5.329488	up
PRSS1	1.23E-10	5.3844194	up
ABCA7	2.82E-38	5.4076395	up
KLHDC7B	6.13E-36	5.408595	up
HDC	3.64E-22	5.4486613	up
ADCYAP1	7.00E-10	5.4655943	up
SNAI1	3.02E-26	5.4664445	up
TMEM132A	2.35E-31	5.473642	up
AC009060.3	6.79E-06	5.489269	up
JSRP1	1.18E-27	5.5265245	up
DZIP1L	5.98E-36	5.5631614	up
L1TD1	3.45E-18	5.601408	up
TMEM255B	1.39E-36	5.6125255	up
NOD2	2.73E-39	5.620104	up
TNFRSF18	1.79E-42	5.628012	up
CCL17	1.21E-10	5.6338005	up
COX4I2	1.61E-30	5.646273	up
AC004076.7	5.70E-08	5.6699834	up
GRAPL	3.16E-14	5.670919	up
AC090154.1	1.35E-04	5.678269	up
MMP25	5.38E-25	5.6946197	up
PLA2G4B	1.46E-21	5.754177	up
SIGLEC5	2.72E-17	5.7738414	up
IGF2BP3	7.43E-18	5.7890368	up
FCGR1A	4.18E-23	5.8541646	up
RP11-5A19.5	6.13E-26	5.86326	up
F11	8.85E-11	5.884322	up
FAM179A	1.30E-34	5.8982754	up
KCNJ10	1.96E-17	5.9020205	up
TREML2	5.59E-18	6.0367336	up
LILRA6	4.67E-19	6.040285	up
CCNO	8.09E-19	6.0935254	up
GOLGA8B	1.05E-33	6.1039457	up
AC019206.1	2.34E-05	6.1328335	up
CTHRC1	2.57E-28	6.1346254	up
COL4A3	2.57E-25	6.1436267	up
FAM217A	1.85E-09	6.1498737	up
TNFRSF4	6.37E-39	6.1688027	up
KLHL17	<5.34E-43	6.1907043	up
PIF1	<5.34E-43	6.207956	up
FOXS1	1.67E-31	6.234399	up
C4B	8.83E-28	6.2723813	up
PSG3	2.28E-21	6.2964044	up
LYPD5	9.66E-24	6.453804	up
COL18A1	9.00E-35	6.467511	up
FOXP3	1.68E-33	6.4922543	up
HSPA6	1.13E-33	6.4925246	up
ADAM33	1.82E-37	6.4929066	up
FAM25G	8.20E-04	6.546932	up
PSG9	9.06E-19	6.5863824	up
TSPO2	1.50E-19	6.627473	up
IL17REL	5.29E-15	6.6346793	up
PABPC1L	<5.34E-43	6.634985	up
SEMA5B	5.26E-34	6.6662426	up
ADAMTS10	1.27E-39	6.708999	up
BATF3	4.76E-38	6.7141433	up
RNASE2	1.30E-22	6.726769	up
ODF3B	<5.34E-43	6.876577	up
BTBD19	1.21E-36	6.937921	up
SPOCD1	3.95E-32	6.984943	up
MLC1	5.38E-25	7.0692997	up
TSHR	1.50E-27	7.0895467	up
ZBTB32	2.49E-29	7.1338744	up
PALM2-AKAP2	1.16E-09	7.1466537	up
NTNG2	4.28E-34	7.159819	up
CCDC78	3.44E-37	7.1765065	up
GABRE	1.74E-41	7.2201953	up
ITLN2	7.23E-07	7.2395453	up
IL19	1.60E-12	7.2615952	up
AC087350.1	2.73E-05	7.279658	up
HSD11B1	3.21E-30	7.290545	up
RP5-1042K10.14	3.13E-14	7.3308706	up
SLC26A10	8.72E-37	7.3370385	up
GOLGA8A	1.12E-35	7.432267	up
RNF183	7.79E-23	7.441346	up
ZBED2	1.50E-16	7.489492	up
TNFRSF10C	1.71E-21	7.518942	up
FOXQ1	5.40E-19	7.550618	up
COL23A1	3.44E-32	7.5793734	up
ADGRE2	2.70E-33	7.617501	up
FGF10	1.22E-23	7.637872	up
FJX1	8.15E-27	7.813732	up
PADI4	6.56E-18	7.8442984	up
APOBEC3A	6.56E-16	7.964731	up
MAPK15	1.38E-29	7.965139	up
PTGIR	5.34E-43	7.9774747	up
KRT80	1.06E-16	8.040669	up
ADGRE3	1.76E-32	8.067062	up
AC104650.2	6.18E-04	8.222899	up
ADAMTS14	<5.34E-43	8.2501955	up
COL5A3	7.01E-35	8.3248005	up
WNT10B	1.12E-36	8.609481	up
IL21	1.75E-13	8.612643	up
LYPD1	1.62E-16	8.644296	up
APOBEC3H	9.38E-36	8.661895	up
IL23A	6.24E-26	8.770653	up
PLEKHN1	2.76E-34	8.787665	up
RP11-96L14.7	1.16E-14	8.842763	up
AC008914.1	4.12E-04	8.965342	up
SPRR1A	9.51E-05	9.031791	up
ATHL1	<5.34E-43	9.131858	up
BEAN1	1.15E-18	9.190023	up
SENP3-EIF4A1	1.01E-23	9.413093	up
FAM132B	3.36E-24	9.71093	up
CPZ	6.50E-33	9.794551	up
KRT17	2.21E-14	9.946595	up
FOSL1	1.76E-17	10.142167	up
PERM1	5.04E-42	10.288366	up
MDFI	3.19E-32	10.389266	up
DNAAF1	1.28E-15	10.440841	up
CD1B	1.35E-26	10.492623	up
HK3	1.25E-39	10.580891	up
C6orf223	1.88E-25	10.772189	up
AP003419.11	1.54E-09	10.9303255	up
RUFY4	1.38E-42	11.310671	up
SPRR3	9.06E-07	11.883607	up
SAP25	1.03E-39	11.942659	up
C2CD4A	2.47E-29	13.02281	up
CLEC5A	8.98E-25	13.246745	up
STX16-NPEPL1	2.44E-32	13.365221	up
C11orf91	1.18E-13	13.595399	up
DUOXA1	<5.34E-43	13.7646	up
GABRR2	1.51E-34	14.020996	up
MUC5AC	4.14E-13	14.117896	up
NT5DC4	5.01E-19	14.203249	up
AC016577.1	1.71E-15	14.237127	up
CCR3	1.49E-32	14.693308	up
VSTM1	1.11E-24	14.786592	up
FAM65C	<5.34E-43	14.904012	up
ADGRG3	3.49E-34	14.951063	up
NFE2	1.53E-25	15.008074	up
CEACAM4	2.48E-37	15.173951	up
FAM92B	3.79E-30	15.205733	up
COL7A1	1.19E-39	16.269064	up
FAM3B	2.29E-24	16.395384	up
CARD17	1.85E-26	17.97782	up
PGLYRP1	3.93E-26	18.394888	up
KRT6A	3.06E-11	18.519432	up
CLDN14	1.66E-29	20.67888	up
PLA2G3	3.09E-28	24.758373	up
CD300E	3.12E-33	26.036871	up
CMTM2	1.75E-26	26.198614	up
FAM83A	2.29E-26	26.755243	up
PRSS2	3.20E-16	27.095076	up
CTD-3214H19.16	3.68E-06	27.174194	up
IL26	<5.34E-43	28.028156	up
XXbac-BPG116M5.17	1.74E-32	29.999004	up
IL22	7.42E-25	35.0023	up
PPBP	1.15E-30	37.415535	up
LY6D	1.41E-13	37.58498	up
CSF2	8.99E-32	40.636738	up
TNFRSF6B	<5.34E-43	56.215767	up
IL17A	2.42E-39	65.222374	up
MCEMP1	8.71E-29	72.196365	up
CSF3	2.55E-29	78.68296	up
SPRR1B	4.24E-16	107.0536	up
